Time,LM_1_Range,LM_1_Bearing,LM_2_Range,LM_2_Bearing,LM_3_Range,LM_3_Bearing,LM_4_Range,LM_4_Bearing
24.46600064,nan,nan,3.332243119,2.116881225,-0.2251610195,1.3061141623,2.8307527881,0.4448369814
24.499999488,nan,nan,2.624410815,2.0510416076,-0.0206478509,1.2426019421,2.927903061,0.6054180081
24.53300096,nan,nan,3.0791294383,1.8902959686,0.300115664,1.4175941479,2.5998281759,0.5388456245
24.56500096,nan,nan,2.9101328893,1.9189874679,0.3455669865,1.198862479,2.3366747265,0.5365943507
24.599999232,nan,nan,2.8649443055,2.0289594643,0.5186299122,1.2874858607,2.9276390035,0.5290962013
24.633000704,nan,nan,nan,nan,0.0268567869,1.4402088445,2.4699472716,0.3948627521
24.666000128,nan,nan,3.3796741524,2.2034781651,0.2282244095,1.5249098498,2.6803009404,0.4110588659
24.700001024,nan,nan,3.4924660232,1.7883178863,0.3699828788,1.5000627017,2.2379753169,0.3266929816
24.733000448,nan,nan,3.2530964485,1.9544504093,0.0557198171,1.4425415306,2.8756963027,0.510707091
24.765000448,nan,nan,3.0690383985,1.9465921959,0.4403556774,1.6494225164,2.6469044542,0.3216209924
24.800000768,nan,nan,3.1902485098,1.7558951919,0.4664295554,1.3061608644,2.7903681656,0.4782027645
24.839000832,nan,nan,3.4837670775,1.893887294,-0.0583058539,1.4586827299,2.4923811669,0.4335998709
24.868999936,nan,nan,3.3611332874,1.8085199062,0.6166060907,1.3550091702,2.52128084,0.2611033648
24.90499968,nan,nan,3.2526131532,1.79969678,0.2964122499,1.3451589558,2.6434127887,0.5153337959
24.937999104,nan,nan,3.1391377641,1.9044047559,-0.0138847921,1.5944886796,2.569808458,0.6163882939
24.96599936,nan,nan,2.9383573293,1.8656800797,0.4113065531,1.5406525058,2.838863941,0.2560579468
25.000000256,nan,nan,3.4534941815,1.6908259926,0.0819612213,1.502071527,2.7326263171,0.2440040067
25.03299968,nan,nan,3.4636361492,1.6920154103,0.1492184506,1.6871119718,2.4014737706,0.3376979888
25.065999104,nan,nan,3.0266199772,1.6312146857,0.7194360771,1.4978633676,2.3747232343,0.4084526775
25.1,nan,nan,3.1031974559,1.7424870222,0.3908695483,1.4585237235,2.4165609989,0.2180041979
25.132999424,nan,nan,3.3763484764,1.7043746735,0.0031249288,1.5903662975,2.7241797732,0.4285941503
25.166000896,nan,nan,3.1263267888,1.6460634224,0.3866095799,1.5815182634,3.1860170599,0.2480661589
25.199999744,nan,nan,3.1543354467,1.6372189793,0.4101032362,1.6978598453,2.5624141874,0.2447715823
25.232999168,nan,nan,3.1505912214,1.7999139164,0.4000377614,1.6153378474,2.4581940576,0.0777621982
25.26600064,nan,nan,nan,nan,0.1209910381,1.4496735327,2.5368559789,0.354698459
25.299999488,nan,nan,3.0346879858,1.8102949914,-0.0106244166,1.6029845559,2.4310483196,0.3103618396
25.33300096,nan,nan,3.1914954583,-4.5714529704,-0.1538098672,-4.5822392378,3.131257063,0.3715543691
25.366000384,nan,nan,3.0794366847,-4.7322440303,0.4439132732,-4.471039348,2.3706341572,0.1385830349
25.399999232,nan,nan,3.3654319342,-4.5366219893,0.130894629,-4.5156035844,2.59612504,0.0575915519
25.433000704,nan,nan,3.4650177204,-4.766768487,0.4325658567,-4.6817154937,2.2685310581,0.0175834404
25.466000128,nan,nan,3.1734069323,-4.6700395658,0.3986830888,-4.6738887391,2.7617147635,-0.0263622552
25.498999552,nan,nan,3.3770639752,-4.7905525933,0.0601815017,-4.4902539387,2.4945115674,0.1625657422
25.533000448,nan,nan,3.3728534391,-4.6427024726,0.1576622311,-4.4053410706,2.4747183386,0.1390529288
