Time,Range,Bearing,Range,Bearing,Range,Bearing,Range,Bearing
5.999999744,0.881313484,-2.2228596595,nan,nan,nan,nan,3.0346352858,1.7965831448
6.033000192,1.0159650776,-2.3941760905,3.9836612698,-0.0711524032,nan,nan,2.9461083096,1.7809192565
6.066000128,0.7184374644,-2.4349022035,4.3659719526,0.000592512,nan,nan,2.8988446075,1.8390945248
6.1,0.8594575905,-2.4073832455,nan,nan,nan,nan,3.2049023649,1.7240754026
6.132999936,1.1130985672,-2.489831759,nan,nan,nan,nan,3.8710479114,1.9636577566
6.165999872,0.5446129389,-2.2710544132,nan,nan,nan,nan,3.2041799329,1.6366044223
6.200000256,1.0775973624,-2.4354502426,4.0633265972,-0.1708452521,nan,nan,2.5868604001,1.606293926
6.233000192,0.8494125558,-2.4338594074,nan,nan,nan,nan,3.2254178109,1.834702738
6.267000064,0.4843121186,-2.4405657339,nan,nan,nan,nan,2.535679966,1.5602873942
6.3,0.394713275,-2.339303757,nan,nan,nan,nan,3.2331653897,1.7439963803
6.332999936,0.4750738332,-2.5224049309,4.2385710743,-0.369658035,nan,nan,2.8316381877,1.7146946227
6.365999872,0.5865647597,-2.3332973032,nan,nan,nan,nan,3.308636368,1.8255339396
6.399999744,0.9795916521,-2.3045854717,3.9661100774,-0.1162100979,nan,nan,3.6565238001,1.699919235
6.433000192,0.9166545025,-2.2551876807,nan,nan,nan,nan,2.9329273137,1.822474042
6.466000128,0.6049374895,-2.2019388299,nan,nan,nan,nan,2.5789403673,1.7004709757
6.5,1.2432373578,-2.3848812538,nan,nan,nan,nan,2.9690949995,1.6786356459
6.532999936,0.8265797254,-2.095273464,4.4092348385,-0.2244036181,nan,nan,2.8986554474,1.7079690404
6.565999872,0.6875560476,-2.4500885583,nan,nan,nan,nan,3.4118566492,1.7778917904
6.600000256,0.1626923621,-2.5195189216,4.3193404604,-0.2186771664,nan,nan,2.764112754,1.7001220763
6.633000192,1.065999577,-2.4445669129,4.2582630952,-0.0186528627,nan,nan,2.9749696351,1.6166397453
6.666000128,0.4077646631,-2.4026350231,nan,nan,nan,nan,2.4555115684,1.7284969529
6.7,0.8735680543,-2.6184363179,nan,nan,nan,nan,2.8370481017,1.8942535796
6.732999936,0.9265867661,-2.3666982219,4.1875721721,0.0446457787,nan,nan,2.9176950447,1.7548772196
6.765999872,1.0121606963,-2.3754265322,4.4365767815,-0.0045443252,nan,nan,3.7540735126,1.8147832806
6.799999744,0.3448580871,-2.4246383388,4.1640021366,-0.109297912,nan,nan,2.8524750652,1.745947681
6.833000192,0.8114071772,-2.4257231968,3.6535137232,-0.1138334823,nan,nan,2.6731997885,1.8128946781
6.866000128,0.2338621492,-2.4612729747,4.4882458288,0.0552644004,nan,nan,3.2329378138,1.834776925
6.9,0.6871263045,-2.3980722387,nan,nan,nan,nan,3.4968010797,1.5422129391
6.932999936,0.1311233516,-2.2523059377,4.4678689816,-0.1521653849,nan,nan,2.8272239374,1.7182854308
6.965999872,0.6207384207,-2.5368042781,3.9930623712,-0.1091015218,nan,nan,3.0101550699,1.8785247074
7.000000256,0.4142062446,-2.3512499452,nan,nan,nan,nan,2.6365196749,1.8011260292
7.033000192,0.6981358613,-2.3836421267,4.3115073293,-0.0827134544,nan,nan,2.8476917878,1.657655135
7.066000128,0.6711704205,-2.3869257544,4.2762121298,-0.1051895323,nan,nan,3.0200051201,1.8095319651
7.1,0.6997676257,-2.399464386,4.4766153627,-0.2114220401,nan,nan,2.9123806298,1.7352088479
7.132999936,0.3405130539,-2.353696186,nan,nan,nan,nan,3.1690195939,1.7234949477
7.165999872,0.8680910255,-2.3750691396,nan,nan,nan,nan,2.7918791615,1.8227427206
7.198999808,0.9448928833,-2.3626139233,4.2571671011,-0.1152608722,nan,nan,3.3318302827,1.7644400072
7.233000192,0.7061827759,-2.3008552444,4.0905156073,0.0568653435,nan,nan,3.2471974312,1.7635958347
7.266000128,0.8010155287,-2.4304040034,nan,nan,nan,nan,2.954560018,1.8987981667
7.3,0.8695807369,-2.5743766649,nan,nan,nan,nan,3.4606974935,1.7458154703
7.333999872,0.8885768338,-2.5011412816,4.3474000564,-0.0965590836,nan,nan,3.1184564789,1.7761785793
7.365999872,0.5716899966,-2.4108263647,4.0311694454,0.0392386567,nan,nan,2.6894053671,1.6358078859
7.400000256,0.2500674003,-2.5890199098,4.3737223215,-0.1133545684,nan,nan,2.8744715742,1.7857952312
7.433000192,0.7602607432,-2.476716355,nan,nan,nan,nan,2.7137632995,1.7572240908
7.466000128,0.4288431715,-2.3069663147,4.2451833357,-0.0799536688,nan,nan,2.8346493038,1.7473002689
7.499000064,0.5562500528,-2.5781366592,nan,nan,nan,nan,3.1948550515,1.7200735127
7.532,0.82463403,-2.5321808952,nan,nan,nan,nan,3.1307277891,1.7437377353
7.565999872,0.4182427208,-2.5376007594,4.0420072609,-0.2688434228,nan,nan,3.3076200844,1.9246817067
7.599999744,0.3649889613,-2.5695648925,nan,nan,nan,nan,2.7645952628,1.7398517531
7.631999744,0.9628197629,-2.3775196252,nan,nan,nan,nan,2.8888735854,1.6862779776
7.666000128,0.5495396266,-2.4676043987,nan,nan,nan,nan,3.0517971758,1.8443612824
7.7,0.8638598915,-2.3496515538,nan,nan,nan,nan,2.6344925725,1.695508806
7.732999936,-0.0494610352,-2.5636747734,3.9068536541,-0.1505827688,nan,nan,2.8931800168,1.7294840341
7.765999872,0.1764222883,-2.2695612651,4.4824834905,-0.0434624295,nan,nan,3.2803718756,1.7936147708
7.800000256,0.9645677481,-2.3239342129,4.1505937068,-0.069443299,nan,nan,3.115477899,1.9367428481
7.833000192,0.6050604964,-2.4146598987,4.0921191803,-0.0509439608,nan,nan,2.7378318313,1.7722599428
7.866000128,0.6033182361,-2.4860399217,nan,nan,nan,nan,3.0290723922,1.9011227269
7.9,0.8693710433,-2.6227423106,nan,nan,nan,nan,3.0449618187,1.8555636803
7.933999872,0.8763755179,-2.3825602341,nan,nan,nan,nan,2.9209979868,1.7412537487
7.965999872,0.4109001894,-2.5509795695,4.0392679436,-0.2467829821,nan,nan,2.8884077886,1.8680533784
7.999999744,0.9123762694,-2.5033101979,nan,nan,nan,nan,3.0006110847,1.7837203764
8.033000192,0.9166302681,-2.537636943,4.0007639081,-0.1073006285,nan,nan,2.8804363609,1.7471176153
8.066000128,0.5537155447,-2.4085065761,nan,nan,nan,nan,3.2942940878,1.7867098309
8.099000064,0.9643506564,-2.4358310281,4.419728424,-0.2384966157,nan,nan,2.9950355855,1.6760762486
8.132999936,0.4130951533,-2.4522433953,4.3282697831,0.0116204258,nan,nan,3.100302529,1.6688852765
8.164999936,0.9734999363,-2.3688145067,4.1108504519,-0.1504574959,nan,nan,3.151035518,1.7976659769
8.200000256,0.4666890185,-2.4139042547,4.2040845125,-0.231850902,nan,nan,2.4425987569,1.5908023413
8.233000192,0.6587328368,-2.3307456059,nan,nan,nan,nan,2.3205127091,1.6483661554
8.266000128,1.0442669513,-2.5774007182,4.2381608691,-0.0539836312,nan,nan,3.0080422345,1.7952171801
8.3,0.1313877807,-2.5296757439,4.2337832755,-0.0953572027,nan,nan,2.8958454466,1.8651237305
8.332999936,0.5369598241,-2.5004880937,4.0972023095,0.0091865933,nan,nan,3.1921605108,1.8115033413
8.365000448,0.5247103039,-2.5950689847,4.3774046116,-0.1087432858,nan,nan,3.2073815734,1.7487177833
8.399999744,0.447598654,-2.6262054337,3.5979347078,-0.0838685683,nan,nan,2.8985814175,1.8153435899
8.433000192,0.730829213,-2.4636869333,4.2534090693,-0.2628907116,nan,nan,3.0325242357,1.5439798873
8.465999616,0.7186159308,-2.4795859888,4.0686730628,-0.1305355512,nan,nan,2.910114562,1.7223897303
8.499999488,-0.0192957065,-2.438315464,nan,nan,nan,nan,3.0927742485,1.6123002444
8.532999936,0.7071911209,-2.5380193632,4.3534376061,0.0575510064,nan,nan,3.6242577374,1.8695918877
8.566000384,1.1776759867,-2.4568000324,4.0410745978,-0.2910487814,nan,nan,3.3204126017,1.7284760985
8.600000256,0.5543470673,-2.4563692731,4.3126921717,-0.087052385,nan,nan,3.0514294555,1.7017196137
8.63299968,0.9548325337,-2.3048288304,4.1815471222,-0.2458709452,nan,nan,3.328872504,1.8748103936
8.666000128,1.1858085639,-2.395350551,4.1993314265,-0.0785400707,nan,nan,3.4520773313,1.6110681809
8.7,0.9626916738,-2.5239085054,nan,nan,nan,nan,3.0158773942,1.7724277397
8.733000448,0.75742053,-2.565839599,4.0590413637,-0.304548215,nan,nan,2.7258198544,1.8289074247
8.765999872,0.7785293194,-2.5202380253,4.0813820271,-0.0395114466,nan,nan,2.8716685894,1.8555397767
8.799999744,0.8571448545,-2.3423240801,nan,nan,nan,nan,3.1005132569,1.8876456628
8.833000192,1.2231148223,-2.4473347043,nan,nan,nan,nan,3.027040181,1.7961541304
8.865999616,0.9968818078,-2.5321996164,nan,nan,nan,nan,2.9264410414,1.5189960087
8.900000512,0.808376715,-2.7426195636,nan,nan,nan,nan,3.3932773047,1.575498443
8.932999936,0.7741888293,-2.5668361921,nan,nan,nan,nan,3.1369631111,1.6997971879
8.966000384,0.9851750283,-2.5007400341,3.6197354405,-0.1979045741,nan,nan,3.2482017068,1.7999564515
9.000000256,1.257281108,-2.6556929785,nan,nan,nan,nan,3.1347480518,1.8443741953
9.032000256,0.7957058432,-2.35912121,4.3707588672,-0.0963907797,nan,nan,3.1508219643,1.7734842053
9.06499968,1.0222305623,-2.5726579258,3.9623395602,-0.125382823,nan,nan,3.021549086,1.8110479665
9.098999552,0.7517238577,-2.5783605834,4.1433084099,-0.3940357707,nan,nan,3.466444932,1.6533092482
9.133000448,0.8281635274,-2.4973944944,4.3026264324,-0.1008149204,nan,nan,2.8933999628,1.6558397513
9.165999872,1.0451890803,-2.4869226589,3.4421310103,-0.0647819002,nan,nan,3.0805907182,1.7000078379
